Chorus,Verse,Pre-Chorus,Post-Chorus,Bridge,Intro,Verse 1,Verse 2,Outro,Refrain,Verse 3,Breakdown,Interlude,Reprise,Drop,"Produced by S1, M-Phazes and VohnBeatz",Hook,Instrumental Break,Pre-Chorus 1,Pre-Chorus 2,Pre-Chorus 3,Verse 4,Chorus 1,Chorus 2,Hook – Dave,Verse 1 – Carter,Bridge – Carter,Verse 2 – Carter,Outro - Dave,Pre-Hook,Bridge & Guitar Solo,laughs] Why you always gotta be inconsistent,Verse 5,Verse 6,Break,Chorus 3,Hook 2,Chorus 4,Hook 3,Guitar Solo,Dialogue,"Letra de ""Cariño""",Musical Interlude,Interlude 1,Interlude 2,Refrain 1,Refrain 2,Post Hook,"Interlude, spoken/sampled",*Complete and utter incoherence*,Couplet 1,Couplet 2,Instrumental,Part,INTRO,VERSE 1,VERSE 2,PRE-Chorus?,VERSE 3,OUTRO,Instrumental break,Breakdown (Chopped Sample),Climb,BETELGEUSE,LYDIA SPOKEN,LYDIA,BETELGEUSE SPOKEN,SUNG,SPOKEN,BARBARA SPOKEN,ADAM SPOKEN,ADAM AND BARBARA,ADAM,BARBARA,"LYDIA, ADAM, AND BARBARA",Verse 7,Bridge 1,Bridge 2,Pre Chorus,Monologue,Click here to read Panic! At The Disco’s story about “Death of A Bachelor”,Instrumental Bridge,Spoken,Intro (Japanese),"Audio sample from The B-52's ""Rock Lobster""",Got The Love - Terrell Morris](,DIE 4 YOU - Creams](,Red Lights - Haiti Babii](,Rich Girl - Soulex],Amantes y Amigos - Arcangel](,Stained Glass (feat. Westside Gunn) - The Alchemist],Wonder (feat. Still Woozy and MTMBO) - Billy Lemos],CLUB E11EVEN (feat. Guapdad 4000) - ALLBLACK],Verse Reprise,Post-Chorus - Extended,Post Chorus,Instrumental Post-Chorus,Trumpet Solo,Round 1,Round 2,Round 3,"Letra de ""Taki Taki"" ft. Ozuna, Cardi B & Selena Gomez",Coro,Verso 1,Pre-Coro,Verso 2,Verso 3,Skit,Post-Verse,"Letra de ""Pa' La Cultura"" ft. Sofía Reyes, Abraham Mateo, De La Ghetto, Zion & Lennox, Manuel Turizo, Lalo Ebratt, Thalía & Maejor",Verso 4,Verso 5,Verso 6,Verso 7,Produced by DJ Mustard,Estribillo,Songtext zu „Cinderella“,Strophe 1,Pre-Refrain,Post-Refrain,Strophe 2,Songtext zu „Bachata“ ft. Cristobal,Part 1,Part 2,"Letra de ""Que Calor"" ft. J Balvin & El Alfa",Refrán,Puente,"Letra de ""VIDA LOCA""",Bridge 3,Songtext zu „Paradise“,Pre-Drop; Joker Bra,Pre-Drop,"Songtekst van ""Video Vixen"" ft. Bizzey","Letra de ""Pa' Ti""",Produced by The Invisible Men,B-Section,Beatbox Solo,Spoken Intro,Spoken Interlude,"Letra de ""TKN""",Middle 8,Saxophone Solo,"Produced by Mariah Carey, The-Dream, and Tricky Stewart",Chorus Variation,"Letra de ""telepatía""","Letra de ""Rabiosa"" feat. El Cata",Dinah,Post-Bridge
"['All the good, comes in waves', 'I bide my time by the ocean', 'And at night, I’m awake', 'To feel the wake of your motion', 'And I want something that’s feeling alright', 'Loose cannon but still it won’t fire', 'No need to leave, spend our whole lives', 'Another day in paradise', 'All the good, comes in waves', 'I bide my time by the ocean', 'And at night, I’m awake', 'To feel the wake of your motion', 'And I want something that’s feeling alright', 'Loose cannon but still it won’t fight', 'No need to leave, spend the whole night', 'Another day in paradise', 'All the good, comes in waves', 'I bide my time by the ocean', 'And at night, I’m awake', 'To feel the wake of your motion', 'And I want something that’s feeling alright', 'Loose cannon but still it won’t fight', 'No need to leave, spend the whole night', 'Another day in paradise']",,,,"['I don’t need what I’ve sowed', 'I just need something good', 'And I know when we’re old', 'We’ll look back and say “some', 'Mistakes we made, they made us who we are', 'These games we played they got us really far""', 'That shit to most won’t ever mean a thing', 'But it got us here, so I hold on', '']",,"[""Her body's gold like September"", 'She burns through the night like an ember', 'And all those things we tried forgetting I remember', 'But we say we all fine we all fine', 'Sunny day dreams and we up now', 'Vodka lemonade I serve it up it goes down', '75 degrees and a dope sound', 'All you need to live fine to live fine', 'A little sunshine cause she need it', 'A dose of rainfall in the evening', 'The waves crash down and we feel them', 'Say here’s to the nights we steal them', 'And I be running cause I figured out', 'The more I slow down the less I get out', 'And if we fall lets be strong now', 'Moving along we don’t mind we don’t mind', '']","['I be gone till November', 'Going through the letters that I send her', 'And think about the moment that I met her', 'Well I’ll be back in due time in due time', 'Touchdown throw off my own two shoes', 'Still the same city I be used to', 'And all the reckless things that we do', ""Keep us young, they're good signs they're good signs"", 'Take a little more if you need it', 'Voices of the night won’t mislead it', 'The tide pulls me in but it takes slow', 'Here’s to the nights we let go', 'And I’m hoping that they figure out', 'It’s all about the scenery along the route', 'No fears and no problems', ""These moments are so kind, they're so kind"", '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""She can't help herself at all"", ""She's falling deep in love"", ""Can't give you what you want"", 'My bad, I messed this up', 'Can barely help myself', ""I'm falling out of love"", ""Can't give you what you want"", 'My bad, I messed this up', ""She can't help herself at all"", ""She's falling deep in love"", ""Can't give you what you want"", 'My bad, I messed this up', 'Can barely help myself', ""I'm falling out of love"", ""Can't give you what you want"", 'My bad, I messed this up', ""She can't help herself at all (No, no, no, no, no, no)"", ""She's falling deep in love"", ""Can't give you what you want"", 'My bad, I messed this up', 'Can barely help myself (No, no, no, no, no, no)', ""I'm falling out of love"", ""Can't give you what you want"", 'My bad, I messed this up']",,"['I thought we took it slow, anymore', 'I might just break without you', ""Can't stop thinking about you"", ""(Can't stop thinking ab—)"", '', 'I thought we took it slow, anymore', 'I might just break without you', ""Can't stop thinking about you"", ""(Can't stop thinking ab—)"", '']",,,,"[""Down on myself, hope you're doing well"", ""I've been honestly going through hell"", 'Feeling troubled, no one to tell', 'Dodged a bullet, saved by the bell', 'If we had to make up, last the weekend', 'Save the break up just to be friends', 'I would not call in the past tense', ""I would've not, not fallen for you"", '']","['Stole my heart, she broke it to pieces', ""She said I'm average, I picked up the pieces"", 'She left the third time, she had her reasons', 'I took her back, I had my reasons, oh, no', ""I can make time, hope you're doing fine"", ""Hurt me when you lied, can't you take signs?"", ""I can fix that, I won't hurt you"", ""This ain't an act, yeah, I do this all for you"", '']","['My bad, I messed this up', 'My bad, I messed this up']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah', 'Man, I tell that broke bitch', 'If you wanna get in tune, better change your whole pitch, like yo', ""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah (Yeah)', 'Man, tell that broke bitch', '', ""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah', 'Man, I tell that broke bitch', 'If you wanna get in tune, better change your whole pitch, like yo', ""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah (Yeah)', 'Man, tell that broke bitch', '', ""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah', 'Man, I tell that broke bitch', 'If you wanna get in tune, better change your whole pitch, like yo', ""So quick, bitch, we workin' both ends"", 'We put shit in motion, we just dipped our toes in, like woah (Yeah)', 'Man, tell that broke bitch']",,,,,"[""(We packin' diamond pistols)"", 'Uh, yeah, ayy', '']","[""Now hold up, bro, what the fuck you say? Nah,\u2005you\u2005ain't sayin' nothin'"", ""Add\u2005a couple bitches, what's the problem?\u2005Now they make a sum"", '""Walk Man"" doin\' laps, it got us on the run', ""Bitch, you knowin' that we on the roll and that the tape is done, ah"", ""I'm whippin' somethin' foreign with expired tags"", ""Signin' on the dotted line, whatever's gonna get the bag"", 'The little man, short-sighted, my decisions bad', ""Just 'cause I'm the funny guy does not mean that I'm callin' back""]","[""Oh shit, it's us again, she can't fuck with me, so she just fuck my friends"", ""I can't get pulled over on the road 'cause I got contraband"", ""My whip be creepin' on the ten, I'm feelin' weird again"", 'They say, ""Cody, grow up,"" I say, ""Bitch, I\'m goin\' Peter Pan""', 'Uh, bank account look like some Cheerios (Yum)', ""You can't see us 'cause we flyin' low"", ""Ain't nothin' 'bout it predisposed"", 'But the shit we make got legs and take off like a runny nose']","['If you wanna get in tune, better change your whole pitch', 'If you wanna get in tune, better change your whole pitch, like', 'Tell that broke bitch, tell that, tell that broke bitch', 'If you wanna get in tune, better change your whole pitch, like', 'Man, tell that broke bitch']",,"[""We movin' fast, y'all don't even know my race"", ""And we know you're micro soft, boy, we call you Billy Gates"", ""I'm gainin' weight, uh, we cookin' as of late"", ""Got no taste for bein' broke so we ain't takin' any breaks"", ""Man, you talkin' all cap, we just stick to low-key"", ""Call me Thor 'cause she want my fuckin' hammer, Loki"", ""And we baggin' up the green, I don't even smoke tree"", ""I'm her mainline, baby, 'cause she tryna OD""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Good news, good news, good news', ""That's all they wanna hear"", ""No, they don't like it when I'm down"", ""But when I'm flyin', oh"", ""It make 'em so uncomfortable"", ""So different, what's the difference?"", 'Good news, good news, good news', ""That's all they wanna hear"", ""No, they don't like it when I'm down"", ""But when I'm flyin', oh"", ""It make 'em so uncomfortable"", ""So different, what's the difference?""]",,,,,,"['I spent the whole day in my head', ""Do a little spring cleanin'"", ""I'm always too busy\u2005dreamin'"", 'Well,\u2005maybe I should\u2005wake up instead', 'A lot of things\u2005I regret, but I just say I forget', ""Why can't it just be easy?"", 'Why does everybody need me to stay?', ""Oh, I hate the feelin'"", ""When you're high, but you're underneath the ceilin'"", ""Got the cards in my hand, I hate dealin', yeah"", ""Get everything I need, then I'm gone, but it ain't stealin'"", 'Can I get a break?', 'I wish that I could just get out my goddamn way', 'What is there to say?', ""There ain't a better time than today"", ""Well, maybe I'll lay down for a little, yeah"", ""Instead of always tryin' to figure everything out"", 'And all I do is say sorry', ""Half the time I don't even know what I'm sayin' it about"", '']","[""When it ain't that bad"", 'It could always be worse', ""I'm runnin' out of gas, hardly anything left"", 'Hope I make it home from work', ""Well, so tired of bein' so tired"", ""Why I gotta build somethin' beautiful just to go set it on fire?"", ""I'm no liar, but"", ""Sometimes the truth don't sound like the truth"", ""Maybe 'cause it ain't"", 'I just love the way it sound when I say it, yeah', ""It's what I do"", ""If you know me, it ain't anything new"", ""Wake up to the moon, haven't seen the sun in a while"", ""But I heard that the sky's still blue, yeah"", ""I heard they don't talk about me too much no more"", ""And that's the problem with a closed door"", '']","['No more, no more, no more, no more', 'No more, no more, no more, no more', 'Hey, hey', 'Mm, hey, mm, mm, mm']",,"[""There's a whole lot more for me waitin' on the other side"", ""I'm always wonderin' if it feel like summer"", ""I know maybe I'm too late, I could make it there some other time"", ""I'll finally discover"", ""That there's a whole lot more for me waitin'"", ""That there's a whole lot more for me waitin'"", ""I know maybe I'm too late, I could make it there some other time"", ""Then I'll finally discover"", ""That it ain't that bad, ain't so bad"", ""Well, it ain't that bad, mm"", ""At least it don't gotta be no more"", '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['I said she likes when I\u2005come\u2005over', ""I feel like\u2005I can't go wrong wit' you"", ""Realize\u2005we have somethin' special"", ""We have somethin' special"", ""We have somethin' special"", 'Yeah', '', 'She likes when I come over', ""I feel like I can't go wrong wit' you"", ""Realize that we have somethin' special"", ""We have somethin' special"", ""We have somethin' special, girl (Ah, yeah)"", '']",,,,"['Do-do-do, do-do-do (Ah)', 'Do-do-do, do-do-do (Yeah)', 'Do-do-do, do-do-do (So good)', 'Do-do, do-do', 'Do-do-do, do-do-do (Uh-huh)', 'Do-do-do, do-do-do', 'Do-do-do, do-do-do', '']","['Oh-oh-oh-oh (Ooh)', 'Oh-oh-oh-oh (Ooh)', 'Oh-oh-oh-oh (Ooh)', 'Oh-oh-oh-oh (Ooh)', 'Yeah, yeah, yeah (Yeah)', 'Yeah, Yeah (Yeah)', '']","[""I don't know, I don't know how you can't see it (Can't see it)"", ""Maybe I'm just stuck in your ambience (Oh-oh-oh)"", ""Either way I'm all for you"", 'Speed dial first call for you', 'I just wanna break you off tonight (Yeah)', 'Only here for the night, girl, do you need it? (Yeah)', 'Romance in the air, girl do you feel it? (Oh-oh-oh)', ""I don't wanna miss this one chance now"", 'Green light girl, on go now', ""I'ma go until the neighbors say""]",,"['My baby, baby, baby', 'Keep me on your mind', ""'Cause I can't help but to stay busy"", ""When you're not right by my side""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Way up way up we go', 'Been up and down that road', 'Way up way up, oh no', 'We gon’ burn the whole house down', 'Watch me stand in the line', 'You’re only serving lies', 'You’ve got something to hide', 'We gon’ burn the whole house down', 'We gon’ burn the whole house down', 'Way up way up we go', 'Been up and down that road', 'Way up way up, oh no', 'We gon’ burn the whole house down', 'Watch me stand in the line', 'You’re only serving lies', 'You’ve got something to hide', 'We gon’ burn the whole house down', 'We gon’ burn the whole house down', '', 'Way up way up we go', 'Been up and down that road', 'Way up way up, oh no', 'We gon’ burn the whole house down', 'Watch me stand in the line (whoa oh)', 'You’re only serving lies (yeah)', 'You’ve got something to hide', 'We gon’ burn the whole house down', 'Woah oh, yeah', 'We gon’ burn the whole house down', 'We burn it down, we burn it down', 'We gon’ burn the whole house down']",,,,"['(We gon’ burn the whole house down)', 'Should I hang my head low?', 'Should I bite my tongue?', 'Or should I march with every stranger from Twitter to get shit done?', 'Used to hang my head low', 'Now I hear it loud', 'Every stranger from Twitter is gonna burn this down']",,"['Used to keep it cool', 'Used to be a fool', 'All about the bounce in my step', 'Watch it on the news', 'Whatcha gonna do?', 'I could hit refresh and forget', 'Used to keep it cool', '']","['Should I keep it light?', 'Stay out of the fight?', 'No one’s gonna listen to me', 'If I write a song', 'Preaching what is wrong', 'Will they let me sing on TV?', 'Should I keep it light?', 'Is that right?', '']",,,"['Yeah, used to let it go', 'Walk into the show', 'Gawking at the tricks up your sleeve', 'Too good to be truth-', 'Full, I’m in a room', 'Full of entertainers and thieves', 'Used to let it go', 'Woah, oh no', '(Woah, oh no)', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['I hope you choke on every lie you said to me', 'I hope you move out of this city suddenly', 'I hope you get everything you deserve', ""Karma's a bitch, I heard"", '', 'I hope you choke on every lie you said to me', 'I hopе you move out of this city suddenly', 'I hope you gеt everything you deserve', ""Karma's a bitch, I heard"", '', 'I hope you choke on every lie you said to me', 'I hope you move out of this city suddenly', 'I hope you get everything you deserve', ""Karma's a bitch, I heard"", '']",,,"['What goes around', 'Comes around', 'I hope you get everything you deserve (You deserve)', ""Karma's a bitch, I heard"", '', 'What goes around (What goes around)', 'Comes around', 'I hope you get everything you deserve', ""Karma's a bitch, I heard"", '', 'What goes around (What goes around)', 'Comes around (Comes around)', 'I hope you get everything you deserve (You deserve)', ""Karma's a bitch, I heard""]",,,"[""I hope your\u205fnew\u205fman\u205fgives you something\u205fthat you can't\u205fget rid of"", ""I know you're missing all the things that you said you were sick of"", ""And now you'll never come around me"", ""I know you wish you'd never found me"", ""But now you're stuck inside a world that you hate"", '']","['I wrote down all of the things I miss', ""And your name's the first one on that list"", 'I crossed it off, XOXO', ""I'm over my ex (Are you really, though?)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Thank you, next (Next)', 'Thank you, next (Next)', 'Thank you, next', ""I'm so fuckin' grateful for my ex"", 'Thank you, next (Next)', 'Thank you, next (Next)', 'Thank you, next (Next)', ""I'm so fuckin'—"", 'Thank you, next (Thank you, next)', 'Thank you, next (Thank you, next)', 'Thank you, next (Thank you)', ""I'm so fuckin' grateful for my ex"", 'Thank you, next (Thank you, next)', 'Thank you, next (Said thank you, next)', 'Thank you, next (Next)', ""I'm so fuckin' grateful for my ex"", 'Thank you, next (Thank you, next)', 'Thank you, next (Thank you, next)', 'Thank you, next', ""I'm so fuckin' grateful for my ex"", 'Thank you, next (Thank you, next)', 'Thank you, next (Said thank you, next)', 'Thank you, next (Next)', ""I'm so fuckin' grateful for my ex"", '']",,"['One taught me love', 'One taught me patience', 'And one taught me pain', ""Now, I'm so amazing"", ""Say I've loved and I've lost"", ""But that's not what I see"", 'So, look what I got', 'Look what you taught me', 'And for that, I say', '', 'She taught me love (Love)', 'She taught me patience (Patience)', 'How she handles pain (Pain)', ""That shit's amazing (Yeah, she's amazing)"", ""I've loved and I've lost (Yeah, yeah)"", ""But that's not what I see (Yeah, yeah)"", ""'Cause look what I've found (Yeah, yeah)"", ""Ain't no need for searching, and for that, I say"", '', ""I've got so much love (Love)"", 'Got so much patience (Patience)', ""And I've learned from the pain (Pain)"", 'I turned out amazing (Turned out amazing)', ""Say I've loved and I've lost (Yeah, yeah)"", ""But that's not what I see (Yeah, yeah)"", ""'Cause look what I've found (Yeah, yeah)"", ""Ain't no need for searching"", 'And for that, I say']","['Thank you, next', 'Thank you, next', 'Thank you, next', ""I'm so fuckin'—"", '', 'Thank you, next', 'Thank you, next', 'Thank you, next', 'Yeah, yee', 'Thank you, next', 'Thank you, next', 'Thank you, next', 'Yeah, yee']","[""One day I'll walk down the aisle"", 'Holding hands with my mama', ""I'll be thanking my dad"", ""'Cause she grew from the drama"", 'Only wanna do it once, real bad', ""Gon' make that shit last"", 'God forbid something happens', 'Least this song is a smash (Song is a smash)', '']",,"[""Thought I'd end up with Sean"", ""But he wasn't a match"", 'Wrote some songs about Ricky', 'Now I listen and laugh', 'Even almost got married', ""And for Pete, I'm so thankful"", 'Wish I could say, ""Thank you"" to Malcolm', ""'Cause he was an angel"", '']","['Spend more time with my friends', ""I ain't worried 'bout nothin'"", 'Plus, I met someone else', ""We havin' better discussions"", 'I know they say I move on too fast', ""But this one gon' last"", ""'Cause her name is Ari"", ""And I'm so good with that (So good with that)"", '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['So today, baby', ""Remember it's okay"", ""We're all floatin' through space (Floatin' through)"", 'Today, baby', ""Remembеr you're okay"", ""We're all floatin' through spacе (Floatin' through)"", '', 'So today, baby', ""Remember it's okay"", ""We're all floatin' through space (Floatin' through)"", 'Today, baby', ""Remember you're okay"", ""We're all floatin' through space"", '', 'So today, baby (Yeah, yeah)', ""Remember it's okay"", ""We're all floatin' through space (Hey, floatin' through)"", 'Today, baby (Yeah)', ""Remember you're okay (Yeah)"", ""We're all floatin' through space (Yeah, floatin' through)"", '']",,"['24/7 and 365', 'You made another day, made it alive', 'Made another day, made it alive (Yeah)', '24/7 and 365', 'You made another day, made it alive', 'Made another day, made it alive', '', '24/7 and 365', 'You made another day, made it alive', 'Made another day, made it alive (Yeah)', '24/7 and 365', 'You made another day, made it alive', 'Made another day, made it alive (Yeah)', '']","[""Floatin' through, floatin' through"", ""Floatin' through space (Floatin' through)"", ""We're floatin' through space, we're floatin' through space"", ""We're floatin' through space (Floatin' through)"", ""Floatin' through (Yeah), floatin' through"", ""Floatin' through space (Floatin' through)""]","['Oh, oh, oh']",,"['You made it through another day', 'You made it through another day', ""You did it, let's celebrate, oh, oh"", ""Some days, you feel you'll break"", 'But you made it through another day', ""Yeah, you did it, let's celebrate, oh"", '']","['We are like grains of sand', ""Better to be holdin' hands"", ""Better to be holdin' hands, oh"", 'We are like grains of sand', ""Better to be holdin' hands"", ""Better to be holdin' hands, yeah"", '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""I don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', ""Don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', '', ""I don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', ""Don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', '', ""I don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', ""Don't wanna be a good girl tonight"", 'I just wanna be your bad girl, alright', 'Just wanna be your only one', 'You should hit me up', 'Boy, you got my number', '']",,"['I got this feeling in my body, in my body tonight', ""And when we leavin', my body is your party tonight"", ""If you want it, you can get it, so what you waitin' for?"", 'In the kitchen, on the counter, on the bed or the floor, yeah', 'I got this feeling in my body, in my body tonight', ""And when we leavin', my body is your party tonight"", ""If you want it, you can get it, so what you waitin' for?"", 'In the kitchen, on the counter, on the bed or the floor, yeah']",,,"['Girl...', ""What's up, bitch?"", 'Oh', '']","['949-331-0609', 'Call me up, call me up, for a good time', 'I be waiting up for ya', ""Baby, I'ma sex it up for ya"", 'Got a little something, something for ya', ""Want a little something, something don't ya?"", '']","['I know that we just met right now', 'But I just wanna see you with the lights out', 'I just wanna see you at the crib', 'With your hands on my waist', 'And my hands on ya– ha', 'We can turn it up to the late night', 'Or we can do it into the daytime', 'I just wanna get you to the spot', 'With ya hands on my waist', 'And my hands on ya–', '']","['Boy, you got my number', 'Woo-ah!', 'Haha, secure the bag, sis', 'Secure the bag']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Most girls are smart and strong and beautiful', 'Most girls work hard, go far, we are unstoppable', '""Most girls"": Our fight to make every day, no two are the same', 'I wanna be like, I wanna be like most girls', 'I wanna be like, I wanna be like most girls', 'I wanna be like, I wanna be like', '', 'Most girls are smart and strong and beautiful', 'Most girls work hard, go far, we are unstoppable', '""Most girls"": Our fight to make every day, no two are the same', 'I wanna be like, I wanna be like most girls', 'I wanna be like, I wanna be like most girls', 'I wanna be like, I wanna be like', '']",,"['You know some days you feel so good in your own skin', ""But it's okay if you wanna change the body that you came in"", ""'Cause you look greatest when you feel like a damn queen"", ""We're all just playing a game in a way, trying to win at life"", '', 'You know some days you feel so good in your own skin', ""But it's okay if you wanna change the body that you came in"", ""'Cause you look greatest when you feel like a damn queen"", ""We're all just playing a game in a way, trying to win at life"", '']","[""They're staying out late 'cause they just celebrating"", 'I wanna be like, I wanna be like', ""They're staying out late cause they just celebrating"", 'I wanna be like, I wanna be like', ""(They're staying out late 'cause they just celebrating)"", 'I wanna be like, I wanna be like', ""(They're staying out late 'cause they just celebrating)"", 'I wanna be like, I wanna be like']","['Most girls, (yeah)', 'Most girls, (wanna be, wanna be, wanna be)', 'Most girls, are fighting back every day, no two are the same', 'I wanna be like', '']",,"['Some girls feel best in their tiny dresses', 'Some girls, nothing but sweatpants, looking like a princess', 'Some girls kiss new lips every single night', ""They're staying out late 'cause they just celebrating life"", '']","['Some girls like to keep their physique real private', ""Some girls wear jeans so tight 'cause it feels so right, yeah"", 'Some girls, every day searching, keep the page turning', ""Sleeping in late 'cause they just celebrating life"", '']","['Most girls', 'I wanna be like, I wanna be like most girls', 'I wanna be like, I wanna be like', ""(They're staying out late 'cause they just celebrating)"", 'I wanna be like, I wanna be like', ""(They're staying out late 'cause they just celebrating)"", 'I wanna be like', ""(They're staying out late 'cause they just celebrating life)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"['Current top 25:', '1. ""Sorry"" – Beyoncé', '2. ""Hold Up"" – Beyoncé', '3. ""I Feel It Coming"" – The Weeknd', '4. ""Needed Me"" – Rihanna', '5. ""Formation"" –\xa0Beyoncé', '6. ""Gold"" – Kiiara', '7. ""Trust Nobody"" – Cashmere Cat', '8. ""24K Magic"" –\xa0Bruno Mars', '9. ""After the Afterparty"" –\xa0Charli XCX', '10. ""Cold Water"" –\xa0Major Lazer', '11. ""I Hate U, I Love U"" – Gnash', '12. ""Close"" –\xa0Nick Jonas', '13. ""Into You"" –\xa0Ariana Grande', '14. ""Never Be Like You"" –\xa0Flume', '15. ""Lifted"" – CL', '16. ""Store"" –\xa0Carly Rae Jepsen', '17. ""Blow Your Mind"" –\xa0Dua Lipa', '18. ""Atlantis"" – Bridgit Mendler', '19. ""Deja Vu"" – Post Malone', '20. ""Let Me Love You"" –\xa0Ariana Grande', '21. ""Rockin\'"" –\xa0The Weeknd', '22. ""Work"" –\xa0Rihanna', '23. ""Cake By The Ocean"" –\xa0DNCE', '24. ""Million Reasons"" –\xa0Lady Gaga', '25. ""Side to Side"" – Ariana Grande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
