,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
23,We Wouldn't Be Us,Alexandra Kay,12uPK5LdSGCN8WmVCA4z5o,2021-02-12,0.606,0.654,-5.846,0.0415,0.106,0.12,0.53,101.945,-10.853075338223448
24,Livin’ The Dream,Morgan Wallen,2L4YgbxxwmwafMqLIjSx8q,2020-11-19,0.621,0.754,-5.904,0.0269,0.575,0.213,0.441,127.036,-12.244502678983467
25,Run,Lauren Alaina,5wZs9W0nALt2QZn6yxDlxa,2020-07-31,0.593,0.74,-5.508,0.0309,0.0215,0.0686,0.426,99.997,-12.807288399667739
26,When It Rains It Pours,Luke Combs,1mMLMZYXkMueg65jRRWG1l,2017-06-02,0.551,0.801,-5.069,0.0303,0.013,0.265,0.625,128.027,-13.257964928193603
27,Body Like A Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzHO,2017-02-01,0.732,0.458,-7.225,0.0311,0.447,0.136,0.661,98.938,-13.925210583894641
28,Hard To Forget - Radio Edit,Sam Hunt,6ITrZx7zVGgrADDD1lksjw,2020-03-13,0.694,0.715,-5.39,0.0461,0.191,0.73,0.757,130.085,-15.30921580866482
29,Through The Years,Rascal Flatts,4IF4gdjiml2hVIJSqC4cYV,2020-07-31,0.611,0.515,-7.417,0.028,0.533,0.336,0.268,130.029,-15.313089535817568
30,Back To Life,Rascal Flatts,7Lr4XaxGpkAwa37IVgg22k,2018-09-28,0.467,0.701,-4.997,0.0302,0.191,0.0769,0.28,132.041,-17.266966619162528
31,Lady Like,Ingrid Andress,7c3Y6INQrmNXDAOquinyw4,2020-03-27,0.54,0.586,-5.832,0.0329,0.21,0.0921,0.14,94.961,-17.838361153019683
32,Wedding Medley: Marry Me / Bless the Broken Road / All of Me / A Thousand Years,Anthem Lights,1dizfGQJdAtVz5lT0KvIAK,2018-08-31,0.283,0.178,-11.667,0.0315,0.599,0.191,0.173,95.151,-18.543639166071394
33,Geraldene,Jack Ingram,2eANCHzv43vCHbLwwYY3og,2021-04-28,0.56,0.402,-11.435,0.119,0.814,0.223,0.796,95.037,-18.584640368503067
34,Every Little Thing,Russell Dickerson,3kgCJPXDlnL5bl1HFesHUi,2017-06-16,0.637,0.853,-4.664,0.109,0.216,0.0357,0.861,93.87,-18.96743338362739
35,Queens Don't,RaeLynn,0ExiKxfY5rHBW06TcV1xXU,2018-03-16,0.658,0.695,-5.499,0.0279,0.0703,0.13,0.571,133.949,-19.158061532389425
36,I'm Never Getting Over You,Gone West,4vuB5MoNo17v9Y3cnVpqar,2020-06-12,0.583,0.343,-9.605,0.0273,0.691,0.105,0.283,133.873,-19.432136478929422
37,Coffee (feat. Marc E. Bassy),Quinn XCII,4CxmynXhw78QefruycvxG8,2020-07-10,0.831,0.452,-5.111,0.047,0.0803,0.359,0.534,93.04,-19.773198714054626
38,Set In Stone,Travis Tritt,7MVqVhltAY0slcw61hsRwa,2021-05-07,0.574,0.6,-5.275,0.0289,0.148,0.0743,0.197,135.24,-20.45410529823135
39,Starting Over,Niykee Heaton,15jMztFtJ1mFFJ11SZvHHZ,2018-10-05,0.751,0.394,-6.56,0.0519,0.39,0.121,0.12,135.896,-21.116171898717
40,Just the Way (feat. Bryce Vine),Parmalee,4K3yNCPmLL8pRffpLBJkLR,2021-04-02,0.585,0.71,-5.029,0.058,0.164,0.327,0.426,90.934,-21.87804686776381
41,Breathe,Faith Hill,3y4LxiYMgDl4RethdzpmNe,1999-11-09,0.529,0.496,-9.007,0.029,0.173,0.251,0.278,136.859,-22.280281007831533
42,All My Friends,AJ Mitchell,5Xq7KPZSONkhHx6DFTAbTz,2019-03-01,0.62,0.64,-5.285,0.0334,0.0488,0.0647,0.445,90.032,-22.77226126748571
43,One Margarita,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,2020-03-13,0.641,0.842,-4.872,0.0464,0.0969,0.169,0.738,89.997,-22.822785863404004
44,Stick That In Your Country Song,Eric Church,5lH14PEjAXYuMTz0Dd4L1D,2020-06-25,0.536,0.863,-5.081,0.0362,0.0658,0.118,0.405,89.979,-22.832291141298146
45,When I Pull Up,Justin Champagne,36YL11gGDlMvhPvrIOYqQn,2020-10-23,0.46,0.666,-7.57,0.0975,0.0294,0.107,0.567,89.952,-22.90856585689739
46,Stone,Whiskey Myers,4rJesaufMl2xD0f2G8Xgnd,2016-09-09,0.438,0.477,-7.649,0.031,0.243,0.183,0.176,137.645,-22.919647973237424
47,Where I Find God,Larry Fleet,6eQePEKwbt1y9CkCE6faYi,2020-04-10,0.587,0.523,-6.2,0.0272,0.497,0.102,0.182,137.941,-23.15035579538318
48,Change Your Mind,Keith Urban,38yOhhtcEKNa9ENG3V8iPm,2020-09-18,0.572,0.819,-5.01,0.106,0.593,0.211,0.319,88.038,-24.775019499577503
49,"The Father, My Son, And The Holy Ghost",Craig Morgan,2GOt09C80wyhblCGjGSQ4V,2020-05-22,0.599,0.647,-5.615,0.0362,0.606,0.0522,0.237,139.923,-25.131261581860176
50,Amazed,Lonestar,6qc34bnVOyqGDPni8H5W0U,1999,0.561,0.543,-8.498,0.0324,0.26,0.124,0.243,139.803,-25.143082737955766
51,Ain't Nothin' to It,Cody Johnson,4QWaq7U3fufJjy1rCBm6ds,2019-01-18,0.514,0.618,-5.673,0.0268,0.132,0.0921,0.311,139.977,-25.18279254017041
52,The Luckiest,Josh Abbott Band,5PnTXkJ5T5yknzaUHxtaOs,2020-11-13,0.533,0.7,-4.594,0.0311,0.517,0.114,0.507,87.081,-25.74554032009075
53,Smile,Uncle Kracker,4ZC8hXXqu2hPcDLw9QTdtQ,2009-09-11,0.541,0.812,-3.764,0.0336,0.203,0.42,0.607,141.056,-26.34207930724362
54,I Called Mama,Tim McGraw,2oWuBmQtYMx3LEgahIsJvs,2020-08-21,0.499,0.619,-7.054,0.0339,0.571,0.148,0.514,86.185,-26.63895106934411
55,Still Fallin,Hunter Hayes,5nqD7Un5BOLlnk5AjfXZRJ,2014-05-06,0.459,0.387,-8.409,0.0281,0.672,0.106,0.283,85.924,-26.993741621541066
56,Leaving Love Behind,Zac Brown Band,1rdyEsdv6qJ7VNz96BdeIS,2019-09-20,0.47,0.258,-6.994,0.0346,0.889,0.0887,0.358,85.773,-27.055065469351522
57,Jersey on the Wall - I'm Just Asking,Tenille Townes,4Ii1EFQX6EZXkojk4CO9pm,2020-06-26,0.647,0.647,-7.318,0.0332,0.169,0.076,0.564,141.939,-27.18228050679357
58,If That Ain't God,Chris Young,2wD4EACbGI6zfKXEAKJmBV,2020-07-03,0.512,0.686,-4.942,0.0319,0.226,0.0874,0.502,142.07,-27.288883644385827
59,Josslyn,Olivia O'Brien,37ZKB38iNyKJ0xYEz9SJgk,2020-05-15,0.425,0.743,-5.54,0.148,0.012,0.709,0.344,84.748,-28.05759382749368
60,Good for You,Josh Gracin,4XAGc7m1YDdM5tp8EN3y7S,2018-10-05,0.638,0.33,-8.144,0.0328,0.309,0.111,0.223,143.795,-29.08915138922335
61,Nobody But You (Duet with Gwen Stefani),Blake Shelton,5M8goiFYynmNxhueYW6grR,2019-12-13,0.463,0.653,-5.515,0.0273,0.111,0.172,0.233,143.912,-29.119660905355484
62,Better Than You’re Used To,Tyler Rich,7stizS5H8h8ABU390mkhZC,2021-02-12,0.586,0.817,-5.352,0.0621,0.106,0.319,0.593,143.949,-29.159286225201033
63,I Don't Know About You,Chris Lane,3yOs8FffuG6hPbzQG9lIqV,2018-07-13,0.593,0.81,-5.733,0.0625,0.602,0.119,0.712,144.011,-29.218621558462893
64,Diesel (feat. Earl Dibbles Jr.),Granger Smith,5Q2X9PQPTTnz36Covdja5K,2020-11-27,0.496,0.837,-4.277,0.0588,0.00888,0.201,0.674,144.126,-29.37378226605965
65,One Too Many,Keith Urban,5NUXE8W12lWcUXgJRCjeEw,2020-09-16,0.697,0.535,-6.504,0.068,0.247,0.569,0.594,82.959,-29.847350976114615
66,Big Gangsta,Kevin Gates,2HYvkdq6lpFXkVz9Tfqi8r,2019-05-31,0.879,0.574,-5.602,0.391,0.519,0.144,0.346,144.911,-30.120659649878807
67,Bluebird,Miranda Lambert,0kPeZAyIhIfeZNrtfjJGDB,2019-11-01,0.661,0.633,-5.986,0.0348,0.038,0.124,0.613,81.984,-30.81387897071969
68,Heaven - Acoustic,Kane Brown,6iianeJmHrWZEjYXYKlAPY,2018-04-13,0.692,0.709,-5.889,0.03,0.0762,0.103,0.662,80.015,-32.78280897029731
69,Things I Can't Say (feat. Julia Cole),Spencer Crandall,5PfLdXnwvcZ8WbGMQpSsrd,2020-11-06,0.616,0.798,-4.224,0.0481,0.0125,0.114,0.936,80.033,-32.80702581511123
70,My Best Friend,Tim McGraw,5BeY2wY4rGFD1Q3aXO83Bv,1999-05-04,0.444,0.484,-8.311,0.0289,0.12,0.135,0.263,147.715,-33.01001616250132
71,Give In to Me,Various Artists,5rwxsHLK1q9fPJFyyqJmP1,2010-12-21,0.624,0.357,-10.031,0.0234,0.632,0.112,0.402,79.998,-33.058732599490504
72,All On Me - Recorded at Spotify Studios NYC,Devin Dawson,7aq3BKKrM3luFfBuZso3U1,2018-03-21,0.668,0.389,-10.137,0.0576,0.299,0.103,0.696,79.976,-33.09267217868966
73,play w/ me,Bailey Bryan,3xHxEedrD51HCQ91Hlt5qL,2020-06-26,0.735,0.55,-7.153,0.177,0.6,0.0931,0.762,147.968,-33.20034390414217
74,Boys,Dean Brody,5VgMn7pEds7eJzO9b8DNZM,2020-11-18,0.307,0.717,-4.706,0.0401,0.432,0.106,0.366,78.44,-34.376054590267685
75,Tin Man,Jack Ingram,6YgnWdREQM4gDccOYY1WpP,2021-05-07,0.462,0.142,-13.382,0.0427,0.946,0.12,0.342,78.82,-34.78777523308207
76,She Ain't Me,Sophia Scott,7982KbyXg43yTKBzpWpKkA,2018-11-29,0.366,0.634,-5.023,0.044,0.184,0.177,0.194,77.978,-34.829350704186645
77,PARADISE TO ME,Niko Moon,0EuW1WTOpISw5eubQwO0Gm,2020-02-14,0.728,0.651,-5.867,0.0338,0.0126,0.0667,0.337,77.507,-35.290951192406084
78,Wild World,Kip Moore,69w3Njwg4aul2tq4Hb1xWl,2020-05-29,0.64,0.445,-9.087,0.048,0.073,0.119,0.261,150.068,-35.41826132373156
79,The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,2019-03-08,0.612,0.57,-6.642,0.0347,0.278,0.0963,0.334,77.004,-35.800994134229576
80,I Hope You Dance,Lee Ann Womack,65B1tEOv5W294uCKbmEcFV,2000-01-01,0.385,0.443,-9.627,0.0295,0.0632,0.0898,0.275,151.278,-36.674331142007055
81,Kinfolks,Sam Hunt,53F1MVa1BWUkTBbVqgVAfN,2019-10-10,0.565,0.805,-4.457,0.0489,0.0808,0.173,0.869,76.04,-36.78487611907177
82,Hurricane,Luke Combs,6xHI9KjUjYT0FPtGO8Mxa1,2017-06-02,0.464,0.813,-6.185,0.0416,0.0153,0.254,0.515,75.977,-36.8226186789545
83,Drift Away,Uncle Kracker,0RFgvrhkf9FiDRLA0BhzpZ,2002-07-09,0.583,0.66,-5.078,0.0377,0.181,0.0979,0.861,151.956,-37.1699709352208
84,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,2020-10-23,0.487,0.65,-5.195,0.0253,0.191,0.0933,0.456,151.964,-37.17390653296565
85,If It Wasn’t For Trucks,Riley Green,4QhFrBkJ3Rqx66Xs8xwH8o,2020-09-11,0.435,0.811,-5.594,0.0357,0.00047,0.163,0.174,152.041,-37.249139269877666
86,Whatever Forever Is,Devin Dawson,1fNznqiu5d1wLezuTyy1UB,2021-01-15,0.635,0.827,-6.021,0.0468,0.0308,0.0838,0.936,154.016,-39.22481838800016
87,Love Your Love The Most,Various Artists,6wD2Li98trymxDbtyRux4P,2021-05-17,0.332,0.524,-6.788,0.0301,0.194,0.124,0.438,73.393,-39.414889865167275
88,Wasting All These Tears,Cassadee Pope,25zXRQGuwYZdIp88fVZOPC,2013-01-01,0.465,0.772,-3.932,0.0378,0.0959,0.167,0.257,155.83,-41.07915647744854
89,Whoever Broke Your Heart,Murphy Elmore,5kpDn3lzvpTPLPxRTXyq9c,2017-04-07,0.482,0.766,-5.251,0.0401,0.041,0.247,0.635,155.915,-41.1248852301534
90,Don’t Close Your Eyes,Dylan Scott,13PBIwqV5ZfMy3hvtJpIre,2019-08-09,0.449,0.514,-6.129,0.0281,0.473,0.105,0.343,155.953,-41.15877605545017
91,Good Life,Kip Moore,2jxr70XvPQvuEwVkbbZ0Vw,2021-04-23,0.601,0.963,-3.653,0.0828,0.0184,0.126,0.946,156.002,-41.268257580879784
92,Unwell,Taylor Acorn,6IppOKrbFWnuEo9ik1jSTp,2020-07-24,0.587,0.347,-10.523,0.0292,0.514,0.107,0.371,70.52,-42.52939881785181
93,Die A Happy Man,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n,2015-01-01,0.595,0.389,-9.245,0.0349,0.418,0.116,0.4,166.052,-51.36704024721658
94,Some Girls,Jameson Rodgers,54eUv9Q3D9MZuOGS5PSflp,2018-01-19,0.429,0.831,-5.108,0.0473,0.0781,0.312,0.348,167.984,-53.19461252212804
95,What She Wants Tonight,Various Artists,1Zu2CUWqDYhR4pod14HqwW,2021-05-17,0.501,0.901,-3.861,0.0978,0.0671,0.138,0.681,169.889,-55.12995587788753
96,What’s Your Country Song,Thomas Rhett,65tP0mThMEaHbVIzdYHZYw,2021-03-05,0.359,0.706,-6.151,0.0309,0.000602,0.285,0.479,174.079,-59.28514646331384
97,the other girl (with Halsey),Kelsea Ballerini,3CS5zwqrjggxlRD0QGJAva,2020-03-20,0.583,0.769,-4.859,0.159,0.419,0.0988,0.785,179.869,-65.08162679374348
98,Just the Way,Parmalee,5PAvFGse5jjDH9ke8Mae7D,2019-12-13,0.426,0.829,-2.84,0.0569,0.107,0.317,0.814,180.241,-65.51487632352331
99,Anything She Says,Mitchell Tenpenny,6LQxv30jh0lCISHsPYwqoy,2019-07-25,0.612,0.621,-5.657,0.0734,0.169,0.137,0.883,185.857,-71.06255183716156
100,Holding On to You,Miranda Lambert,7A35lRz4cm0QkbnlNAJPtm,2014-06-02,0.491,0.352,-9.856,0.0426,0.388,0.103,0.325,188.861,-74.17268251488434
101,Follow Your Arrow,Kacey Musgraves,4CLPNURPcKztF9RRdcWLGP,2013-01-01,0.448,0.649,-5.925,0.0434,0.418,0.0976,0.575,195.925,-81.12932994352016
102,Better Luck Next Time,Kelsea Ballerini,7vejWqYK7NFsxbxQsAjTrC,2019-06-11,0.373,0.477,-6.391,0.0819,0.226,0.0879,0.531,198.522,-83.7281330777186
103,Simple,Florida Georgia Line,4L9Ds4mpD3SuYoWwFUlv16,2019-02-15,0.362,0.882,-3.717,0.0973,0.0791,0.15,0.864,199.811,-85.04329096602244
104,Thinking 'Bout You (feat. Lauren Alaina),Dustin Lynch,6NebrV4ZigAoXIRbe11hxh,2020-01-17,0.394,0.747,-4.446,0.0627,0.13,0.0747,0.776,203.918,-89.13388918303482
105,Ride,Chase Rice,2Dp0QLXSfuGr5XVlLwzXLk,2014-08-19,0.666,0.721,-6.347,0.0318,0.0354,0.122,0.342,115.039,-0.3844374321714461
106,Look What God Gave Her,Thomas Rhett,2KqJC0koTBUyDlsMt5ok1V,2019-05-31,0.739,0.85,-3.966,0.0308,0.0272,0.181,0.883,113.0,-1.1233119609704638
107,Rock With You,Sammy Adams,3nTo1un7qf2vLve3YVTSEx,2016-03-24,0.69,0.873,-5.459,0.0521,0.0372,0.747,0.854,115.996,-1.376889945622203
108,Rivers Deep,Gabby Barrett,1y9jnUTgn4u8RzybqK8WFT,2018-05-18,0.716,0.684,-3.052,0.0339,0.189,0.104,0.638,114.058,-1.8185918636088791
109,Beer Can’t Fix,Thomas Rhett,7idmHTAQQPUFqdjXkoooXD,2019-05-31,0.711,0.774,-4.068,0.0308,0.0317,0.124,0.939,111.016,-2.3514830707611987
110,All on Me - PHZES Remix,Sammy Adams,3xF86TktJM2xl32EleFMDF,2020-06-12,0.623,0.949,-4.429,0.0366,0.00637,0.118,0.498,118.001,-3.46290548773987
111,Young Again,Morgan Evans,5KClAAep73NVj6DYpLkvRA,2018-10-12,0.609,0.829,-5.411,0.0482,0.0781,0.183,0.751,119.977,-5.211608897346832
112,You Broke Up with Me - Remix,Walker Hayes,6oWjS5jBcEEr3GedlcfwfI,2019-03-15,0.87,0.639,-6.372,0.0643,0.0568,0.192,0.708,119.985,-5.228248965286938
113,One Shot,Hunter Hayes,6smVfDjrVkJKfO1MasrbE9,2019-08-16,0.699,0.723,-5.815,0.0614,0.0529,0.101,0.931,120.039,-5.2678683819618675
114,Like a Rodeo,Kane Brown,7z3dPHwGxeK4fD6fYFDwiS,2019-11-01,0.67,0.661,-6.798,0.0466,0.704,0.217,0.425,119.985,-5.277006324961074
115,Drop,Dallas Smith,3N5VYHDK81Q8uhOQSOLQX9,2020-08-28,0.638,0.872,-4.234,0.0617,0.162,0.116,0.355,119.936,-5.3580176481038055
116,Can’t Help Myself,Dean Brody,2PjnsOviwyOmHTA36yU7qb,2020-11-18,0.696,0.869,-3.453,0.0358,0.00392,0.162,0.663,119.99,-5.6567053323697785
117,Villain,Lily Rose,6PXUv7YuTC2Ua1rowd9Uql,2020-12-15,0.632,0.642,-7.957,0.0646,0.313,0.092,0.175,107.377,-5.765325580014621
118,Home Sweet,Russell Dickerson,7xMFk2Vj2hALyMdzHFopJl,2020-06-26,0.58,0.813,-5.621,0.0414,0.0386,0.0926,0.473,120.973,-6.1894607232810275
119,Baby Girl,Bryce Vine,6DNTJAvdyDwkmiPm2Wl8At,2020-02-28,0.86,0.592,-8.606,0.0861,0.166,0.276,0.621,107.016,-6.330241644966334
120,Soul,Lee Brice,3vCUelLOtiuNF78p9LNWZF,2020-11-20,0.789,0.642,-8.304,0.0352,0.357,0.0985,0.755,121.003,-6.624022580869042
121,Nobody (R3HAB Remix),Dylan Scott,2Z0Ie1NJJLkp14ClmTx5P5,2021-05-07,0.68,0.842,-5.555,0.134,0.0679,0.3,0.354,105.901,-6.911881064171879
122,Dicked Down in Dallas,Trey Lewis,1yhft6ZqYadd4GOrKrmK3a,2020-12-01,0.51,0.929,-4.685,0.0456,0.0608,0.101,0.438,122.036,-7.3326725750865105
123,Looking At You (feat. Sam Vesso),Two Friends,2IBzArIJ2ognJz1EZinuPg,2020-05-22,0.652,0.815,-3.784,0.131,0.136,0.0844,0.794,121.969,-7.441164360181631
124,Fancy - Dave Audé Remix,Reba McEntire,2ZuPfysUMPtXSGhFZ7W4Xt,2020-09-11,0.696,0.716,-6.908,0.0552,0.00487,0.369,0.46,104.973,-7.896220537537236
125,Tequila - Robin Schulz Remix,Dan + Shay,4Nu8sEejt46770gDUvFcrF,2019-03-21,0.448,0.836,-6.495,0.0809,0.229,0.427,0.482,122.899,-8.13503249767624
126,The Bull,Kip Moore,6mBlft6IhCJwPNKhnbb0wK,2017-09-08,0.741,0.693,-6.326,0.0575,0.00799,0.0896,0.702,122.981,-8.207617595540054
127,hole in the bottle,Kelsea Ballerini,2yySWxfeRN2QRZnFMnYMQl,2020-03-20,0.478,0.873,-3.637,0.122,0.0486,0.374,0.739,104.365,-8.700605999812634
128,Looking At You (feat. Sam Vesso) - GSPR Remix,Two Friends,5iG1A03lXR4jI3uHMcIrDt,2020-07-24,0.742,0.717,-6.617,0.118,0.193,0.119,0.686,123.988,-9.226813445233068
129,Caught Up In The Country (Sam Feldt Remix),Rodney Atkins,6MYshGKhcheOSGquz6NKbC,2019-02-08,0.614,0.897,-3.918,0.0762,0.0621,0.178,0.453,124.029,-9.420765744109238
130,90's Country,Walker Hayes,4VVvKg5swvHf34JI7uwL2L,2018-08-30,0.738,0.718,-5.777,0.0414,0.163,0.207,0.685,125.047,-10.256256068675643
131,Fault (Kdrew Remix),mike.,4NkBcQGLWF8JsarNIb2Bhy,2018-01-12,0.705,0.636,-5.744,0.0471,0.224,0.137,0.376,101.985,-10.813083613248477
132,Take It From Me - Brandon Day Remix,Jordan Davis,06PQ8Qrv66zvNyc2KIahb0,2019-02-22,0.697,0.804,-3.941,0.0395,0.0554,0.123,0.467,102.054,-10.900818787528847
133,Famous Friends,Chris Young,4iXDn9pu5Q9sxv45vE8Lak,2020-11-20,0.533,0.855,-2.901,0.0356,0.0553,0.335,0.64,102.017,-11.149418513393897
134,Emily,Two Friends,3lhmj5XfT5poIR5ozhiDmH,2017-04-21,0.663,0.824,-4.053,0.0585,0.0261,0.136,0.588,126.055,-11.395697956291206
135,Helluva (feat. Kat Nestel),Sammy Adams,2hhwviDztMIPyhYLS0PyDp,2016-03-24,0.646,0.92,-3.294,0.041,0.0261,0.464,0.615,125.925,-11.40692748482081
136,Don’t Threaten Me With A Good Time,Thomas Rhett,0UsEU29nx7wcyNEsGIA6qc,2019-05-31,0.658,0.799,-4.669,0.0378,0.000803,0.0532,0.738,100.964,-11.894559970592665
137,All Night Longer REMIX (feat. B.o.B),Sammy Adams,5PXhYXlPf6CCGrSeZEmJZH,2014-06-23,0.73,0.637,-6.417,0.0837,0.00362,0.0642,0.56,127.026,-12.24748731669519
138,All Night Longer,Sammy Adams,1vNn7rVQT6UtEW1NGH53fT,2012-08-20,0.712,0.649,-4.753,0.063,0.000652,0.0683,0.616,127.028,-12.282391553854334
139,Crazy Beautiful,Andy Grammer,4krQoYa2TBsvUBtAz6gOBI,2016-11-18,0.616,0.822,-3.808,0.0418,0.0617,0.0547,0.671,100.522,-12.43564827537542
140,If I Know Me,Morgan Wallen,03d8S7FBY2kIzhP0E7l4rn,2018-04-27,0.777,0.604,-5.813,0.12,0.765,0.11,0.672,99.934,-12.873259289856835
141,Back Home,Andy Grammer,07HeFSqsEGq4eWyerDrW1a,2014-08-05,0.621,0.827,-7.309,0.0454,0.0409,0.0815,0.65,99.979,-12.900422973550109
142,Tequila - R3HAB Remix,Dan + Shay,2aAyDqzwEeVIigSMFM1tNS,2018-06-21,0.578,0.862,-3.059,0.0405,0.0119,0.0744,0.547,100.049,-13.032768588400494
143,Bachelorettes on Broadway,Willie Jones,277YJPrwcN4a1W3xaP06T0,2019-09-06,0.643,0.84,-3.057,0.0965,0.0158,0.154,0.806,99.988,-13.096187414106007
144,With My Homies,Two Friends,4ZuZ0JMLbJ2ObQ3Zbe6vt1,2018-11-30,0.741,0.886,-2.608,0.165,0.0125,0.218,0.852,99.986,-13.197372172821348
145,Short Skirt Weather,Kane Brown,6PN7QeNItfzZBpCTQvsLyq,2019-11-01,0.699,0.893,-5.412,0.0431,0.0626,0.253,0.944,128.044,-13.268653456216466
146,Hell - Salasnich Remix,Two Friends,380IbvL0Uk5C3t9YeT3DKx,2020-12-18,0.669,0.818,-4.806,0.0706,0.00415,0.125,0.268,128.022,-13.270977429948385
147,Little Bit,Timeflies,6nAehrYnxE6tnaTjlKRTI2,2018-01-19,0.845,0.531,-5.609,0.196,0.121,0.097,0.39,98.04,-14.762497951898387
148,La La Land (feat. YG),Bryce Vine,4oM9DGUTrRaXJDypxxHztZ,2019-07-26,0.774,0.473,-5.122,0.0569,0.221,0.222,0.416,97.953,-14.861609273134977
149,Fake ID (feat. Gretchen Wilson),Big & Rich,6dFcL5hsy8dy0RCFx7f5FD,2011-05-17,0.663,0.956,-2.322,0.0395,0.0614,0.233,0.73,129.983,-15.574400502389263
150,Day Drunk,Morgan Evans,7nGuT0EfqQ1TXcADEKwB6Q,2018-10-12,0.647,0.754,-5.446,0.0378,0.015,0.0684,0.755,97.005,-15.80182385324878
